name,price,status,shipping,free_returns,items_sold
RAP / HIP HOP BLOWOUT SALE 1990 TO 1996 - $10 EACH - BUY 4 OR MORE FOR $5 EACH!,1000,Pre-Owned,647,False,
New ListingCharley Pride Greatest Hits Vintage Vinyl LP 1981 RCA Record AHL1-4151,1499,Brand New,697,False,
RAP / HIP HOP BLOWOUT SALE 1980 TO 1989 - $10 EACH - BUY 4 OR MORE FOR $5 EACH!,1000,Pre-Owned,647,False,
New ListingVintage The Treasury of Great Music 12 Record Set,1499,Pre-Owned,850,False,
New ListingStarBurst Various Artist Vintage Vinyl 2 Album Set,1300,Pre-Owned,522,False,
New ListingTheo Vaness – Bad Bad Boy - Tested Vintage Vinyl LP,1299,Pre-Owned,522,False,
"Vintage 1950 S ""The Milks Journey "" Record Album",1000,Pre-Owned,447,False,
Cerpenters Self Titled Vintage Vinyl LP A&M Record SP-3502,1898,Pre-Owned,420,True,
New ListingVTG Lot of 2 Elvis Presley Albums - Flaming Star & Blue Hawaii - 1960s VG+/VG+,3999,Pre-Owned,597,True,
New ListingChicago 17 LP 1984 Orig Press Warner Bros Vintage Vinyl,825,Pre-Owned,447,False,
ROCK & POP LPs BUILD YOUR OWN VINYL RECORD LOT $5.99 FLAT RATE SHIPPING,100,Pre-Owned,599,True,
"New ListingVTG President of United States of America Naked & Famous 7"" RECORD WHITE VINYL",3499,Pre-Owned,495,False,
New ListingMissing Persons – Spring Session M - Tested Vintage Vinyl LP,1599,Pre-Owned,522,False,
New ListingVtg 21 Pc 45 RPM Record Lot various COUNTRY Clint black Alabama  SEE PHOTO,2500,Pre-Owned,522,False,
Ultrakill Volume 1: Infinite Hyperdeath 3xLP,6998,Brand New,1050,True,
New ListingDOWN BY THE STATION -HAPPY TRAIN SONGS CASEY JONES - VINTAGE  PETER PAN RECORDS,2000,Pre-Owned,,False,
New ListingJungle Brothers I’ll House You 12” Vinyl Idlers Records House Hip Hop,1499,Pre-Owned,447,False,
Vintage Polydor – Japanese –  Polydor Records SMN-3002 33 1/3 R.P.M. Japan,2099,Pre-Owned,2999,False,
New ListingFats Domino Vintage 45 RPM Record Lot,1000,Pre-Owned,475,True,
Star Wars Return of the Jedi Read-Along Book & Record Sealed NEW 1983 Rare Vtg,996,Brand New,447,False,
New ListingAsia Astra SEALED Vintage Vinyl Lp 1985 Geffen Prog Art Rock,1995,Brand New,522,False,
"New ListingVintage children's records, Nursery Rhymes",10000,Pre-Owned,0,False,
BARBRA STREISAND Vinyl Record Lot You Pick & Choose Vintage ADD for % OFF,179,Pre-Owned,447,False,
New ListingPat Boone Vintage 45 RPM Record Lot,1000,Pre-Owned,475,True,
Vintage VINYL  45's Records . See Photos For Titles & Artist #GRP2,250,Pre-Owned,577,False,
"New ListingPublic Enemy Don't Believe the Hype Prophets of Rage Def Jam 1988 Vinyl 12""",1000,Pre-Owned,600,False,
1950's - 1970's LOT Vintage Jamaican vinyl Records U PICK warped  combined ship,419,Pre-Owned,1299,False,
New ListingIntroducing The Beatles Vinyl Beatles 1964 Vee Jay Records Rock Stereophonic Vtg,1998,Pre-Owned,447,True,
"New ListingVTG RARE Local H Cynic/Talking Smack 7"" RECORD NR MINT VINYL 1995",6498,Pre-Owned,495,False,
New ListingWill McFarlane ‎– Only The Heart - Tested Vintage Vinyl LP,1998,Pre-Owned,522,False,
New ListingVintage Walt Disney Snow White and the Seven Dwarfs Picture Disc LP Vinyl 3101,799,Pre-Owned,447,False,
New ListingVintage LITTLE FEAT Dixie Chicken Time Loves a Hero Vinyl Lot LP 1973 BS 2686,1200,Pre-Owned,522,False,
LOS CADETES DE LINARES - Una Lagrima y Un Recuerdo (1977) Vinyl - Vintage NEW,6500,Brand New,800,False,
VINTAGE ORIGINAL SUN RECORD COMPANY SLEEVE 45 RPM,999,Pre-Owned,650,False,
"New ListingReo Speedwagon - Wheel's Are Turnin' (1984) Vintage Vinyl Record LP, Ships Fast",1499,Pre-Owned,519,False,
New ListingVintage 45 Vinyl Records Lot of 30 Various Beatles Beach Boys Santana UNTESTED,2500,Pre-Owned,672,False,
The Righteous Brothers Let the Good Times Roll Moonglow Records,1500,Pre-Owned,522,True,
Vintage Vinyl Oldies But Goodies Stereophonic Fontanna Orchestra And Chorus,1499,Pre-Owned,595,False,
Vintage Freilich Tanze Alshire Records s-5211,2500,Pre-Owned,447,False,
"PAPER  RECORDS  MANUFACT, CO. FOLDER 6 RECORDS + info VINTAGE        ekim",3000,Pre-Owned,600,False,
Vintage Album,5000,Brand New,447,False,
Vintage Vinyl record lot of 3,5000,Pre-Owned,999,False,
New ListingVintage 45 Vinyl Records Lot of 30 Various Beatles Beach Boys Santana UNTESTED,2500,Pre-Owned,672,False,
New ListingThe Beatles Rarities 1980 Capitol Gatefold Vinyl Record  - Excellent Condition,999,Pre-Owned,0,False,
"New ListingLot of Vintage Country Music Albums - Sonny James, Wanda Jackson, Tracy Nelson",7500,Pre-Owned,944,False,
New Listing1992 - DIGABLE PLANETS - REBIRTH OF SLICK (COOL LIKE DAT) - PENDULUM RECORDS OG,2126,Pre-Owned,447,False,
"New ListingVogue Picture Record, ""All by Myself"" and ""Sniffle Song"" nm",1099,Pre-Owned,0,False,
New ListingRicky Skaggs Lot of 3 Vintage Country LPs w/orig inner sleeves & shrink NM,1599,Pre-Owned,1998,False,
"New ListingOOP VTG Starmen (Austin Reggae) Tribal Music/Island in Sky 7"" RECORD VINYL 1979",2499,Pre-Owned,495,False,
"Vintage Horns by Termanology (Record, 2020)",2766,Brand New,0,False,
New ListingMarie Osmond Who's Sorry Now Vintage Vinyl  with paper roses + this is the way.,1200,Pre-Owned,522,False,
Ray Charles – Doing His Thing | Vintage Vinyl LP | Atlantic Records,1500,Pre-Owned,447,False,
New ListingCode Blue Self-Titled Vintage Vinyl LP 1980 Warner Bros. Record BSK-3461,2222,Pre-Owned,420,True,
CLASSIC OLD & GOLD VOLUME 2 And Classic Old And Gold 3C RECORDS SEALED 2 LPs,1200,Brand New,522,False,
New ListingSEALED! Vtg 1988 John Adams Nixon in China OST Opera Vinyl Record 3 LP Box Set!,3499,Brand New,799,False,
New ListingVintage Amy Grant Vinyl Straight Ahead LP 1984 myrrh Record Sealed,2500,Brand New,702,False,
"New ListingVintage Annie Lennox 2x12"" Vinyl Thousand Beautiful Things J Records House Remix",999,Pre-Owned,547,True,
New ListingLot Of 5 Glenn Miller Vinyl LPs EX RCA Victor VTG,6336,Pre-Owned,1000,False,
"New ListingLot Of 8 Vintage Liberace Records, 78s & 33s, Rare LP Vinyl Shellak",1295,Pre-Owned,0,False,
80s COUNTRY Vintage Vinyl Singles Part Two - YOU PICK! See Description For More!,999,Pre-Owned,,False,
New ListingGustav Mahler - Rafael Kubelik Symphonie Nr. 1 Der Titan Vintage Vinyl,900,Pre-Owned,447,False,
New ListingThe Music Man Van Johnson & The Original London Cast LP vintage clean vinyl!,450,Pre-Owned,447,False,
New ListingM.C. HAMMER-U CAN'T TOUCH THIS 12” SINGLE/CAPITOL RECORDS vinyl EP,1000,Pre-Owned,800,False,
New ListingVTG MLB Baseball Vin Scully Talks w/ Perranoski/Tommy Davis 45 RECORD+pic sleeve,2499,Pre-Owned,495,False,
New ListingVintage Soul & Funk 45 RPM Bundle – 7 Records,1998,Pre-Owned,522,False,
Pick From List LP Record Vinyl Women Singers Vintage Rock buy 4 for 35% discount,500,Pre-Owned,500,False,
Vintage Record - Märchenschätze der Brüder Grimm,1700,Pre-Owned,,False,
LP LA VEDOVA SCALTRA EJS 471 THE GOLDEN AGE OF OPERA PRIVATE RARE VTG- 2 lps,1599,Pre-Owned,522,False,
New ListingVINTAGE READERS DIGEST The Best Of Gilbert & Sullivan Vinyl Boxset 3xLP,1998,Pre-Owned,747,True,
Vintage Vinyl DIE BACH KANTATE  4 Records NM w/inserts HELMTH RILLING 1981,1200,Pre-Owned,672,False,
"Katseye - SIS (Soft Is Strong) [Vintage Bottle 12"" EP] [New Vinyl LP] Extended P",3024,Brand New,3997,True,
"New ListingLot Of 8 Rare Vintage Lawrence Welk LP Vinyl Records, Polka ++ Music",1295,Pre-Owned,0,False,
"Elvis - Moody Blue (Vintage, Vinyl LP) Blue Vinyl 1977 RCA Records AFL1-2428",919,Pre-Owned,447,False,
"New ListingVintage 45 RPM 7"" Records Lot Of 15 See Description (1)",1500,Pre-Owned,965,False,
New ListingVan Halen MCMLXXXIV 1984 Vinyl Vtg,1500,Pre-Owned,447,False,
Earth Wind & Fire Open Our Eyes Vintage Vinyl LP 1974 Columbia Record Album Hype,4000,Pre-Owned,447,False,
Chicago - X - Vintage Vinyl Record 1976,999,Pre-Owned,447,False,
The Rubinoos Self-Titled Vintage Vinyl LP 1977 Beserkley Record BZ-0051,1700,Pre-Owned,420,True,
"New Listing(2)VTG D-Day (Austin PUNK) 7"" RECORD 45 CLEAN VINYL Right to Know/Too Young Date",3499,Pre-Owned,595,False,
New ListingMichael Schenker Group 4 LP Vinyl Collection Vintage Metal Records VG VG+ Promo,4000,Pre-Owned,0,False,
"New ListingOOP VTG Pendulum (TX METAL) Vlad the Impaler EP 7"" RECORD VINYL w/INSERTS NRMINT",4999,Pre-Owned,495,False,
New ListingRUN DMC King of Rock 1985 Vinyl Profile Records 1st Press,4999,Pre-Owned,600,True,
"TARA KEMP HOLD YOU TIGHT 12"" 1990 GIANT BV9102 FUNK SOUL SHRINK",1998,Pre-Owned,0,True,
John Cale - Vintage Violence - Limited 180-Gram Crystal Clear Vinyl [New Vinyl L,3771,Brand New,3899,True,
New ListingWalt Disney It's A Small World - 1966 Vintage Vinyl LP Record - Children’s Songs,899,Pre-Owned,499,False,
New ListingRolling Stones Dirty Work LP One Owner Bought New,1459,Pre-Owned,0,False,
New ListingVintage 80's The Fall – Bend Sinister Vinyl  (Beggars Banquet BEGA 75 UK),8499,Pre-Owned,499,False,
General Electric Show 'N Tell Jim Bowie Record Showslide Film Vintage 1964,692,Pre-Owned,795,False,
"New ListingVTG Breederds Let's Breed 7"" RECORD AQUA VINYL Live 1992 Italy PUNK Don't Call",2499,Pre-Owned,495,False,
New ListingThe Doobie Brothers One Step Closer Record Vintage Vinyl Record Album LP,999,Pre-Owned,522,False,
New Listingdance To Swing Organ/ the mustang/ vintage vinyl  SF -22300,300,Pre-Owned,447,False,
New Listing1970 Black Sabbath LP Vinyl Self Title 1st Album WS 1871 PALM TREE LABEL VTG,2800,Pre-Owned,702,False,
New ListingLOT of 4 Vintage Sound Effects LP’s Vinyl Records Albums,2000,Pre-Owned,775,False,
New ListingSPICE 1-187 He Wrote 2LP 2023 RSD Black Friday Red Black Marbled Vinyl Obi Strip,4099,Pre-Owned,522,False,
New ListingTHE PLATTERS- ENCORE OF GOLDEN HITS-MERCURY-SR 60243-1960 Vintage Vinyl,1998,Pre-Owned,522,False,
Vintage Capitol 66' Sounds Great!  Inner Record Sleeve Beatles NO LP PE 12-2FS,1200,Pre-Owned,600,False,
Vintage Children’s Record Guild “Silly Liesl” CRG 5011 LP – Nonsense Folk Songs,1500,Pre-Owned,776,False,
Ring Of Fire And Other Western Hits The Wranglers Vintage Vinyl Record,1978,Pre-Owned,,True,
The Rubinoos Self-Titled Vintage Vinyl LP 1977 Beserkley Record BZ-0051,1700,Pre-Owned,420,True,
Vintage Children’s Record Guild “Silly Liesl” CRG 5011 LP – Nonsense Folk Songs,1500,Pre-Owned,776,False,
Ring Of Fire And Other Western Hits The Wranglers Vintage Vinyl Record,1978,Pre-Owned,,True,
Chubby Plays ''Uptown'' [Vinyl] Original Vintage New Sealed,1850,Brand New,447,False,
45 rpm Vintage 7” Vinyl Single Record Jukebox Billy Joel Still Rock & Roll To Me,599,Pre-Owned,367,False,
New ListingSnail Self-Titled Vintage Vinyl LP 1978 Cream Record CR-1009,695,Pre-Owned,0,False,
"New ListingOG 🔥 BRYAN FERRY (ROXY MUSIC) ""Slave To Love"" WLP Promo 12"" w/Picture Sleeve NM",5900,Pre-Owned,522,True,
"New ListingLot Of 3 Tony Cabot -Swings On Campus Vol 1, 2, & 3 Vinyl LPs EX RCA Victor VTG",4567,Pre-Owned,750,False,
New Listing1967 Jefferson Airplane Surrealistic Pillow Rock LP 33 RPM Vintage Vinyl,2000,Pre-Owned,447,False,
New ListingNo Artist Lot Of 3 Antique Musical Boxes LP Vinyl NM or M-,1499,Pre-Owned,597,True,
New ListingVintage Lot of 5 Sesame Street Albums & 1 The Electric Company album,4000,Pre-Owned,672,False,
"New ListingVintage John Benshop & Dale Charles East Coasting 12"" Black Vinyl 1996 AcidHouse",999,Pre-Owned,547,True,
"New ListingVTG OOP Pylon Cool Dub EP 7"" RECORD CLEAN VINYL Safe Music w/pic sleeve",1499,Pre-Owned,495,False,
"Vintage music records of classical music Beethoven, Mozart, Tchaikovsky",2000,Pre-Owned,522,False,
VINTAGE ROCK POP ALBUMS RECORDS VILLAGE PEOPLE DIANA ELO MAMAS LOOK!,1299,Pre-Owned,672,False,
19 Assorted Titles Vintage Country 45 Vinyl Record,2250,Pre-Owned,597,False,
New ListingIf That's What It Takes Vinyl Michael McDonald 1982 Warner Bros Records Vintage,1499,Pre-Owned,447,True,
New ListingThe Jacksons Triumph Vinyl Record Album Pop Music Lovely One Vintage Epic 80s,1400,Pre-Owned,447,False,
"New ListingVintage 1969 Man on the Moon 7"" Record Walter Cronkite CBS News Apollo 11",1599,Pre-Owned,447,True,
New Listing19 VINTAGE THE MONKEES ALBUMS 45s RECORDS LOT MONO BEARD INSTANT REPLAY,7500,Pre-Owned,0,False,
New ListingPat Travers Band Crash And Burn Vintage Vinyl LP 1980 Polydor Record PD-1-6262,999,Pre-Owned,499,True,
New ListingConnie Francis - More Greatest Hits - 1961 MGM E3942 Vintage Vinyl Record,1499,Pre-Owned,522,False,
New ListingLot of Two (2) VTG Lou Reed Vinyl LP Record Albums - Transformer & Berlin,3695,Pre-Owned,0,False,
New ListingGeneral Kane Wide Open Vintage Vinyl LP 1987 Motown Record 6238ML,1700,Pre-Owned,420,True,
"New Listing(2)VTG Skunks (Austin PUNK) 7"" RECORD 45 CLEAN VINYL What Do You Want/Cheap Girl",6498,Pre-Owned,595,False,
New ListingLOT OF FIVE 45 RPM Vintage VINYL RECORDS-See Photos & Description for Titles,800,Pre-Owned,0,False,
New ListingHank Snow lot of 3 vintage LPs  Country Guitar & Souvenirs (mono and stereo),799,Pre-Owned,522,False,
New Listing2 Roulette Vintage 45rpm Records - Joe Jones Charlie Gracie Radio Promos 1950s,2000,Pre-Owned,447,False,
Vintage Vinyl Record ROGER WILLIAMS Songs of the Fabulous Fifties Part 2,2200,Pre-Owned,522,False,
More HOOTENANNY Stereo Vintage Vinyl Diplomat DS 2310,1998,Pre-Owned,0,True,
ASHFORD & SIMPSON A Musical Affair LP Original 1980 Vintage Vinyl Soul R&B Disco,1600,Pre-Owned,447,False,
