name,price,status,shipping,free_returns,items_sold
Adidas Duramo SL Black Solar Red,,,,False,
Puma Inhale Black Green Glare,,,,False,
Adidas Daily 3.0 Dove Grey,,,,False,
Nike Revolution 7 Black White,,,,False,
Adidas Runfalcon 5 Triple White,,,,False,
ASICS Gel-Kayano 14 Black Pure Silver 1201A019-006 Mens New,14099,US M 11 + more,14999,False,
Nike Air Jordan 4 Retro Lakers Imperial Purple Men & GS Size INSTANTSHIP!,18997,US M 8.5 + more,1495,False,
Air Jordan 5 “Wolf Grey” DD0587-002,25000,US M 8.5 + more,1495,False,
REEBOK MENS BLACK SNEAKER 100046160 CLASSIC LEATHER CLIP GX9728,5946,US M 9.5 + more,6995,False,86+ sold
adidas men Lite Racer Adapt 4.0 Shoes,3800,US M 11.5 + more,7000,True,
Nike sneakers Sb size 9.5,8900,Nike,1207,False,
Saucony Men's Endorphin Pro 5 White | Slime (All Sizes) NEW! ✨,20000,US M 14 + more,0,False,
NIB Adidas FORUM LOW CL Purple White Womens Walking Shoes Sneakers Sports US 9,4999,US W 9,0,False,
Nike Air Max 2017 Shoes Triple Black 849559-004 Men's NEW,10508,US M 11 + more,12999,False,
Air Jordan 11 Retro Gamma Blue 2025 CT8012-047 Ship Now,22999,US M 5 + more,1495,False,
Nike Air Max TN Plus 3 Men Shoe Casual Running Trainer US Sneaker,6399,US M 8.5 + more,1299,False,
Nike Air Force 1 Low '07 Triple Black Mens Black Sports Sneaker CW2288-001,12350,US M 11 + more,13000,False,
adidas women CLOUDFOAM FLEX SLOUNGE SHOES,3900,US W 10 + more,6500,True,
Nike Air Jordan 1 Mid SE Shoes Patent Bred Black Red White HV4091-006 Men’s NEW,9764,US M 11 + more,10499,False,
"Adidas Men's Stan Smith Regular fit Shoes - Rubber Outsole, Size & Color Options",10000,US M 8.5 + more,1495,True,
Vans New SlipOn Classic Sneakers Unisex Canvas Shoes All Colors Men's/Women's,5499,US M 8.5 + more,,False,
Nike Air Max 90 PRM Shoes Black Reflective HV4517-002 Men's NEW,10043,US M 8 + more,10799,False,
Nike Air Force 1 '07 PRM Shoes Cargo Khaki Black IQ3370-325 Men's Sizes NEW,10914,US M 10.5 + more,11488,False,
Nike Air Max 95 OG Neon 2026 HM4740-001 Men Size,21900,US M 11 + more,1495,False,
On Cloud 6 Triple White Mens Athletic Running Casual Sneakers New,12971,US M 9 + more,13799,False,
"4"" BLACK NIPPLE PACK, 6 pcs, close - 6""",7512,Brand New,3042,False,
Palm Angels Espadrille White/Black Sneakers Size 42 (9M),23999,Palm Angels,1273,False,
Size 9 - Reebok Classic Nylon Light Grey,5895,Reebok Classic,0,False,
Nike Air Max 2017 Black Size 12,17500,Nike Air Max,1495,False,
Air Jordan 4 “Flight Club” IM4002-100,17999,US M 7.5 + more,1495,False,
On Running Men's Cloudmonster 2 Running Shoes,10800,US M 8 + more,18000,False,
On Running Men's Cloud 6 Shoes,10500,US M 8.5 + more,1495,False,
On Running Cloud 6 All White 3MF10071200 Men's Size New,12729,US M 11 + more,13399,False,
Air Jordan 4 Retro Cave Stone FV5029-200,18999,US M 10 + more,1495,False,
Nike Air Jordan 3 Retro Pure Money White CT8532-111 Men's Sneakers Multi Size,15000,US M 10 + more,1495,False,
Size (9-10-11-12) High Top Skull Sneakers,5000,Converse Chuck Taylor All Star,,False,
Air Jordan 1 HI OG Fearless Women's Black-Metallic Rose Gold CU6690-006 Size 5.5,7000,US W 5.5,1230,False,
Converse Converse Shai 001 Pink A19838C Men Size,15000,US M 9 + more,1495,False,
Air Jordan 1 Retro Low OG 'Medium Olive' HQ6998-200,13900,US M 8 + more,1495,False,
Converse All Star Chuck Taylor Canvas Low Top Men/Women Causal Classic Sneaker,4999,US M 10 + more,0,False,
Nike Air Jordan 13 Retro OG Chicago 2026 White True Red MEN & GS Size,17997,US M 8 + more,1495,False,
New Balance 530 White Natural Indigo GR530SB1 Womens New,8929,US M 7 + more,9499,False,
adidas women Breaknet Sleek Shoes,6500,US W 7 + more,0,True,
Under Armour 3026175 Men's Training UA Charged Assert 10 Running Athletic Shoes,5999,US M 10.5 + more,7500,True,
New Balance 9060 Bisque Sea Salt White U9060CCB MEN & WOMEN Size STEAL!,9997,US M 8.5 + more,1495,False,
"ON Running Men's Cloudrunner 2 White | Green, Assorted Sizes",10500,US M 8 + more,1495,False,
"UNION x Fragment x Air Jordan 1 Retro High OG SP ""Black/Navy"" IO7847-001",53000,US M 9 + more,1495,False,
Running Shoes Sneakers Casual Men's Outdoor Athletic Jogging Sports Tennis Gym,1549,US M 11 + more,0,True,
ASICS Gel-1130 White Black Silver 1201A933-100 Mens New,9587,US M 6 + more,10199,False,
Nike Air Flight II Lite Mid Black Varsity Red White DQ7687-003 Men's,11039,US M 11.5 + more,11999,False,
Nike Air Max 95 OG Neon 2026 HM4740-001 Men Size,23999,US M 11 + more,1495,False,
Nike Air Max 90 Black Tiffany HV6224-001 Men's Size New,14249,US M 12 + more,14999,False,
Reebok Men’s Question Annuel AA Mid X Double Toe White IF7394 New Size 10.5 13,10999,US M 10.5 + more,1495,False,
Nike LeBron 23 The Chosen One & The One Who Chose | IF0694-001 | Size 10.5 - 12,12388,US M 12 + more,1457,False,
Nike Kobe 6 Protro “3D All-Star Hollywood” IQ3902-002,23500,US M 8 + more,1495,False,
"Palm Angels University Origin Suede ""Beige/Black"" Sneakers Size 41 (8M)",24999,Palm Angels,1273,False,
Burberry size 40 91/2 tan shoes womens,15000,US W 9,919,False,
"Palm Angels University Origin Suede ""Beige/Black"" Sneakers Size 41 (8M)",24999,Palm Angels,1273,False,
Palm Angels Snow Slip-On Brown/Beige Sneakers Size 41 (8M),21999,Palm Angels,1273,False,
Kizik Men’s London Black Size 9,7598,US M 9,1599,False,
Saucony Men's Endorphin Pro 5 White | Slime (All Sizes) NEW! ✨,20000,US M 14 + more,0,False,
Double Layers Flat Shoe Laces Strings for Boots Sneakers Athletic Tennis Shoes,899,Brand New,,True,
New Balance 2002R Protection Pack - Rain Cloud M2002RDA Men Size,11900,US M 10 + more,1495,False,
adidas  Yeezy Quantum Lace Up  Mens Beige Sneakers Casual Shoes HQ2085,5495,US M 12 + more,25000,True,
Converse Unisex Adult Chuck Taylor All Star High Top Sneaker M9160C Black,4995,US M 12 + more,0,True,
Adidas Vario Pure White Black W,,,,False,
Adidas Racer TR23 Solid Grey Blue Burst,,,,False,
Adidas Grand Court Alpha Shadow Navy White W,,,,False,
Adidas Daily 4.0 Clay Black,,,,False,
Adidas Run 60s 2.0 Grey Carbon,,,,False,
Adidas Run 60s 2.0 Crew Navy,,,,False,
Adidas Grand Court 2.0 White Black,,,,False,
adidas Japan Bright Royal,,,,False,
Adidas Lite Racer Adapt 7.0 Black Grey,,,,False,
Nike Court Vision Next Nature Low Triple White,,,,False,
adidas VL Court 3.0 Core White Bright Royal Dark Blue Gum,,,,False,
Nike Court Vision Next Nature Low Triple Black,,,,False,
Nike Court Vision Low Black White,,,,False,
Adidas Lite Racer Adapt 4.0 Black White,,,,False,
Puma Reflect Lite Trail PURE-TEX Black Cool Dark Grey,,,,False,
Adidas Duramo SL Black Solar Red,,,,False,
Puma Inhale Black Green Glare,,,,False,
Nike Revolution 7 Black White,,,,False,
Adidas Daily 3.0 Dove Grey,,,,False,
Adidas Runfalcon 5 Triple White,,,,False,
"Nike Men's Court Vision Low NN Black Sneakers Shoes, DH2987-002",6500,US M 11 + more,0,False,
PUMA Inhale Lace Up  Mens Black Sneakers Casual Shoes 40156001,3495,US M 11 + more,10000,True,
New Balance 992 MiUSA Grey Silver Metallic U992GY Mens New,16637,US M 6 + more,17699,False,
New Balance 1000 Triple Black M1000B Men Size,9500,US M 11 + more,1495,False,
Air Jordan 4 Retro Black Cat 2025 FV5029-010 Men Size,29900,US M 12 + more,1495,False,
Palm Angels Snow Puffed Black Sneakers Size 41 (8M),22499,Palm Angels,1273,False,
Burberry size 40 91/2 tan shoes womens,15000,US W 9,919,False,
Palm Angels Logo Red/White Lace-Up Skater Sneakers Size 43 (10M),22499,US M 10,1273,False,
Nike Ja 3 'Cobalt Bliss' Men's - HF2793-400,15000,US M 11 + more,1495,False,
Jordan 3 Retro Wizards CT8532-148 Men's,22095,US M 8.5 + more,1495,False,
Levis x Jordan Air Jordan 3 Retro 'Ecru Denim' Beige Red IR0910-400,17700,US M 9.5 + more,1495,False,
Nike Air Jordan 1 Mid Rare Air USA DQ8426-102 Men’s Shoes NEW,8899,US M 12 + more,1495,False,
Diadora Maverick H.O.C. White Red Italy Mens Full Grain Leather Sneakers,5995,US M 10 + more,,True,
Air Jordan 12 Retro Taxi (2025) CT8013-117 Ship Now,21999,US M 11 + more,1495,False,
